"","test_url","result","about","about_page","profile_data","subscribers"
"1","christopherrufo.com","error","error","https://substack.com/@christopherrufo","122K+ subscribers",122000
"2","erininthemorning.com","TRUE","","https://substack.com/@erininthemorning","",NA
"3","thejournal425.com","TRUE","Over 3,000 subscribers","https://substack.com/@thejournal425","",3000
"4","theargumentmag.com","TRUE","Over 34,000 subscribers","https://substack.com/@theargumentmag","",34000
"5","lawdork.com","TRUE","","https://substack.com/@lawdork","82K+ subscribers",82000
"6","southshore.news","TRUE","","https://substack.com/@southshore","",NA
"7","junonews.com","TRUE","","https://substack.com/@junonews","",NA
"8","thefp.com","TRUE","","https://substack.com/@thefp","",NA
"9","liberalpatriot.com","TRUE","Over 50,000 subscribers","https://substack.com/@liberalpatriot","",50000
"10","zeteo.com","TRUE","Over 622,000 subscribers","https://substack.com/@zeteo","",622000
"11","persuasion.community","TRUE","Over 120,000 subscribers","https://substack.com/@persuasionmunity","",120000
"12","wakeuptopolitics.com","TRUE","","https://substack.com/@wakeuptopolitics","59K+ subscribers",59000
"13","bylinesupplement.com","TRUE","Over 32,000 subscribers","https://substack.com/@bylinesupplement","32K+ subscribers",32000
"14","popular.info","TRUE","","https://substack.com/@popular","",NA
"15","okmagazine.com","FALSE","not scraped","https://substack.com/@okmagazine","27K+ subscribers",27000
"16","thebulwark.com","TRUE","Over 973,000 subscribers","https://substack.com/@thebulwark","",973000
"17","thedakotascout.com","FALSE","Over 12,000 subscribers","https://substack.com/@thedakotascout","12K+ subscribers",12000
"18","pillarcatholic.com","TRUE","","https://substack.com/@pillarcatholic","",NA
"19","henrywinter.football","TRUE","","https://substack.com/@henrywinter.football","",NA
"20","racket.news","TRUE","Over 467,000 subscribers","https://substack.com/@racket","",467000
"21","stevevladeck.com","TRUE","Over 107,000 subscribers","https://substack.com/@stevevladeck","",107000
"22","compassvermont.com","TRUE","Launched 9 months ago","https://substack.com/@compassvermont","",9000
"23","the-downballot.com","TRUE","Over 61,000 subscribers","https://substack.com/@the-downballot","",61000
"24","readtpa.com","TRUE","","https://substack.com/@readtpa","99K+ subscribers",99000
"25","hamiltonnolan.com","TRUE","","https://substack.com/@hamiltonnolan","",NA
"26","338canada.ca","TRUE","Over 18,000 subscribers","https://substack.com/@338canada","22K+ subscribers",18000
"27","friendlyatheist.com","TRUE","","https://substack.com/@friendlyatheist","23K+ subscribers",23000
"28","theunpopulist.net","TRUE","Over 42,000 subscribers","https://substack.com/@theunpopulist","42K+ subscribers",42000
"29","wonkette.com","TRUE","Over 46,000 subscribers","https://substack.com/@wonkette","47K+ subscribers",46000
"30","spytalk.co","TRUE","Over 32,000 subscribers","https://substack.com/@spytalk.co","",32000
"31","newsguardrealitycheck.com","TRUE","Over 60,000 subscribers","https://substack.com/@newsguardrealitycheck","",60000
"32","londraitalia.com","TRUE","Over 7,000 subscribers","https://substack.com/@londraitalia","7.4K+ subscribers",7000
"33","discourseblog.com","TRUE","Over 23,000 subscribers","https://substack.com/@discourseblog","23K+ subscribers",23000
"34","the.ink","error","error","https://substack.com/@the.ink","1K+ subscribers",1000
"35","yellopolitics.com","TRUE","","https://substack.com/@yellopolitics","error",NA
"36","feministgiant.com","TRUE","","https://substack.com/@feministgiant","23K+ subscribers",23000
"37","sportspolitika.news","TRUE","","https://substack.com/@sportspolitika","error",NA
"38","asiasentinel.com","TRUE","Over 16,000 subscribers","https://substack.com/@asiasentinel","16K+ subscribers",16000
"39","natesilver.net","TRUE","Over 304,000 subscribers","https://substack.com/@natesilver","304K+ subscribers",304000
"40","tarapalmeri.com","TRUE","","https://substack.com/@tarapalmeri","37K+ subscribers",37000
"41","kenklippenstein.com","TRUE","Over 196,000 subscribers","https://substack.com/@kenklippenstein","196K+ subscribers",196000
"42","chinatalk.media","FALSE","Over 68,000 subscribers","https://substack.com/@chinatalk","68K+ subscribers",68000
"43","allrisenews.com","TRUE","","https://substack.com/@allrisenews","",NA
"44","gelliottmorris.com","TRUE","","https://substack.com/@gelliottmorris","58K+ subscribers",58000
"45","dropsitenews.com","TRUE","Over 672,000 subscribers","https://substack.com/@dropsitenews","672K+ subscribers",672000
"46","readtheline.ca","TRUE","Over 29,000 subscribers","https://substack.com/@readtheline","error",29000
"47","sebastopoltimes.com","FALSE","Over 5,000 subscribers","https://substack.com/@sebastopoltimes","error",5000
"48","noahpinion.blog","TRUE","","https://substack.com/@noahpinion","438K+ subscribers",438000
"49","slowboring.com","TRUE","Over 203,000 subscribers","https://substack.com/@slowboring","",203000
"50","public.news","FALSE","Over 214,000 subscribers","https://substack.com/@public","error",214000
"51","thebureau.news","TRUE","","https://substack.com/@thebureau","35K+ subscribers",35000
"52","michaelmoore.com","TRUE","Over 846,000 subscribers","https://substack.com/@michaelmoore","846K+ subscribers",846000
