"","year","pullURL","url_stub","country","publication","pubdate","articleID"
"1",2025,"pressreader.com","argentina/perfil-sabado/20250531/282699053060300","argentina","perfil sabado","20250531","282699053060300"
"2",2025,"pressreader.com","australia/the-guardian-australia/20250324/282119232335247","australia","the guardian australia","20250324","282119232335247"
"3",2025,"pressreader.com","australia/the-guardian-australia/20251215/282149297646346","australia","the guardian australia","20251215","282149297646346"
"4",2025,"pressreader.com","australia/the-guardian-australia/20250929/281797110171047","australia","the guardian australia","20250929","281797110171047"
"5",2025,"pressreader.com","australia/the-guardian-australia/20250324/282119232335247","australia","the guardian australia","20250324","282119232335247"
"6",2025,"pressreader.com","australia/the-guardian-australia/20251215/282149297646346","australia","the guardian australia","20251215","282149297646346"
"7",2025,"pressreader.com","australia/the-spectator-australia/20250621/281767045193540","australia","the spectator australia","20250621","281767045193540"
"8",2025,"pressreader.com","bangladesh/the-business-standard/20250202/281861534195452","bangladesh","the business standard","20250202","281861534195452"
"9",2025,"pressreader.com","canada/cbc-edition/20250222/281548001625840","canada","cbc edition","20250222","281548001625840"
"10",2025,"pressreader.com","canada/medicine-hat-news/20250712/281505052238771","canada","medicine hat news","20250712","281505052238771"
"11",2025,"pressreader.com","canada/moose-jaw-express-com/20250827/281925959123338","canada","moose jaw express com","20250827","281925959123338"
"12",2025,"pressreader.com","canada/moose-jaw-express-com/20250827/281925959123338","canada","moose jaw express com","20250827","281925959123338"
"13",2026,"pressreader.com","canada/national-post-latest-edition/20260214/281706916136026","canada","national post latest edition","20260214","281706916136026"
"14",2026,"pressreader.com","canada/national-post-latest-edition/20260214/281706916136026","canada","national post latest edition","20260214","281706916136026"
"15",2025,"pressreader.com","canada/national-post-latest-edition/20251020/281552297079451","canada","national post latest edition","20251020","281552297079451"
"16",2025,"pressreader.com","canada/national-post-latest-edition/20250911/282187952160323","canada","national post latest edition","20250911","282187952160323"
"17",2025,"pressreader.com","canada/national-post-latest-edition/20250719/281496462318006","canada","national post latest edition","20250719","281496462318006"
"18",2025,"pressreader.com","canada/national-post-latest-edition/20250724/281651081150528","canada","national post latest edition","20250724","281651081150528"
"19",2025,"pressreader.com","canada/national-post-latest-edition/20250726/281805699977501","canada","national post latest edition","20250726","281805699977501"
"20",2025,"pressreader.com","canada/national-post-latest-edition/20250709/281706915694750","canada","national post latest edition","20250709","281706915694750"
"21",2024,"pressreader.com","canada/national-post-latest-edition/20241228/281706915301466","canada","national post latest edition","20241228","281706915301466"
"22",2025,"pressreader.com","canada/national-post-latest-edition/20250719/281496462318006","canada","national post latest edition","20250719","281496462318006"
"23",2025,"pressreader.com","canada/national-post-latest-edition/20250724/281651081150528","canada","national post latest edition","20250724","281651081150528"
"24",2025,"pressreader.com","canada/national-post-latest-edition/20251121/281479282701349","canada","national post latest edition","20251121","281479282701349"
"25",2025,"pressreader.com","canada/national-post-latest-edition/20250609/281668260926353","canada","national post latest edition","20250609","281668260926353"
"26",2025,"pressreader.com","canada/regina-leader-post/20250912/281560886937729","canada","regina leader post","20250912","281560886937729"
"27",2025,"pressreader.com","canada/saskatoon-starphoenix/20250826/281517937229550","canada","saskatoon starphoenix","20250826","281517937229550"
"28",2025,"pressreader.com","canada/sherbrooke-record/20251201/281543707229593","canada","sherbrooke record","20251201","281543707229593"
"29",2024,"pressreader.com","canada/the-province/20241103/281745569894951","canada","the province","20241103","281745569894951"
"30",2024,"pressreader.com","canada/the-province/20241103/281745569894951","canada","the province","20241103","281745569894951"
"31",2025,"pressreader.com","canada/the-province/20250727/281689735862155","canada","the province","20250727","281689735862155"
"32",2025,"pressreader.com","canada/times-transcript/20250731/281925959071759","canada","times transcript","20250731","281925959071759"
"33",2025,"pressreader.com","canada/toronto-star/20250302/281599541249090","canada","toronto star","20250302","281599541249090"
"34",2025,"pressreader.com","canada/toronto-sun/20251220/281694031125471","canada","toronto sun","20251220","281694031125471"
"35",2025,"pressreader.com","canada/toronto-sun/20251220/281694031125471","canada","toronto sun","20251220","281694031125471"
"36",2025,"pressreader.com","canada/vancouver-sun/20251004/281517937309890","canada","vancouver sun","20251004","281517937309890"
"37",2025,"pressreader.com","canada/waterloo-region-record/20251129/282256671798679","canada","waterloo region record","20251129","282256671798679"
"38",2025,"pressreader.com","canada/winnipeg-sun/20251105/281608131687291","canada","winnipeg sun","20251105","281608131687291"
"39",2025,"pressreader.com","canada/winnipeg-sun/20250621/281595246507634","canada","winnipeg sun","20250621","281595246507634"
"40",2025,"pressreader.com","canada/winnipeg-sun/20250621/281595246507634","canada","winnipeg sun","20250621","281595246507634"
"41",2026,"pressreader.com","canada/winnipeg-sun/20260103/281668261345595","canada","winnipeg sun","20260103","281668261345595"
"42",2025,"pressreader.com","canada/winnipeg-sun/20250615/281702620677324","canada","winnipeg sun","20250615","281702620677324"
"43",2025,"pressreader.com","eswatini/saturday-observer-eswatini-9ZB4/20250809/282187952094274","eswatini","saturday observer eswatini 9ZB4","20250809","282187952094274"
"44",2024,"pressreader.com","eswatini/saturday-observer-eswatini-9ZB4/20241228/282054807651549","eswatini","saturday observer eswatini 9ZB4","20241228","282054807651549"
"45",2024,"pressreader.com","eswatini/saturday-observer-eswatini-9ZB4/20241228/282054807651549","eswatini","saturday observer eswatini 9ZB4","20241228","282054807651549"
