"","month","year","mention_1","mention_2","pullURL","flag","EntryTitle","google_news_keyword"
"1",2,2026,"sex-rejecting",,"news.diocesetucson.org","  ***","2 major medical groups back limits on gender transition procedures for minors","biological sex"
"2",2,2026,"gender mutilation",,"crenshaw.house.gov"," ","Congressman Crenshaw Introduces the Stop Gender Trafficking of Minors Act","transgender"
"3",2,2026,"sex-rejecting",,"exposedbycmd.org","  ***","HHS Has Been Using Anti-Trans Language From a Christian Right Think Tank","biological sex"
"4",2,2026,,"sex change","gbnews.com",,"Transgender migrant given sex change treatment on the NHS - without a right to remain in Britain","transgender"
"5",2,2026,"sex-rejecting",,"roughdraftatlanta.com","  ***","Expanded global gag rule to ban US foreign aid to groups that promote 'gender ideology'","transgenderism"
"6",1,2026,"sex-rejecting",,"wng.org","  ***","A victory for children - WORLD News Group","transgender"
"7",1,2026,,"sex change","kslnewsradio.com",,"Utah lawmakers to push for permanent ban on youth transgender treatments amid criticism ...","transgender"
"8",1,2026,,"sex change","ksl.com",,"Utah lawmakers to push for ban on youth transgender treatments amid criticism of state report","transgender"
"9",1,2026,"sex rejecting",,"healthpolicy-watch.news"," ","Latest US Restrictions On Aid 'Bully' Recipients To Accept 'Extremist Ideology'","gender ideology"
"10",12,2025,"sex-rejecting",,"presidentialprayerteam.org","  ***","House Passes Two Bills to Halt Transgender Interventions for Minors","transgender"
"11",12,2025,"sex-rejecting",,"californiaglobe.com","  ***","HHS Acts to Bar Hospitals from Performing Sex-Rejecting Procedures on Children","biological sex"
"12",12,2025,,"sex change","hengaw.net",,"Hengaw special report on widespread human rights violations in Iran, 2025","gender identity"
"13",12,2025,"sex-rejecting",,"hhs.gov","  ***","HHS Acts to Bar Hospitals from Performing Sex-Rejecting Procedures on Children","biological sex"
"14",12,2025,"sex-rejecting",,"theguardian.com","  ***","The Trump administration is trying to legislate trans people out of existence - The Guardian","transgender"
"15",12,2025,,"sex change","catholicworldreport.com",,"Pope Leo XIV sends 3 truckloads of humanitarian aid to Ukraine - Catholic World Report","gender ideology"
"16",12,2025,"sex-rejecting",,"jdsupra.com","  ***","CMS Seeks to Ban Hospitals from Providing Gender-Affirming Care to Minors | JD Supra","gender ideology"
"17",12,2025,,"sex change","facebook.com",,"Sky News host Chris Kenny highlights a “staggering story” around insurance and gender ...","gender ideology"
"18",12,2025,,"sex change","donoharmmedicine.org",,"Florida AG Sues Medical Activist Groups for Pushing Transgender Care on Minors","gender ideology"
"19",12,2025,"sex-rejecting",,"catholicnewsagency.com","  ***","HHS announces actions to restrict 'sex-rejecting procedures' on minors","gender ideology"
"20",12,2025,,"sex change","cbs19news.com",,"Long overdue': Praise for HHS' action to bar taxpayer-funded sex-change procedures","gender ideology"
"21",12,2025,"sex-rejecting",,"dailyfly.com","  ***","HHS' action to bar taxpayer-funded sex-change procedures - Dailyfly News","gender ideology"
"22",12,2025,"sex-rejecting",,"jdsupra.com","  ***","CMS Attempts to Use Medicare and Medicaid Conditions of Participation to Ban Hospitals ...","gender ideology"
"23",12,2025,,"sex change","ifamnews.com",,"Oklahoma University teaching assistant fired after failing student's religious essay - IFN","transgenderism"
"24",11,2025,"sex-rejecting",,"hhs.gov","  ***","HHS Releases Peer-Reviewed Report Discrediting Pediatric Sex-Rejecting Procedures","biological sex"
"25",11,2025,"sex-rejecting",,"washingtonpost.com","  ***","Experts critical of youth gender care wrote HHS study blasting it - The Washington Post","transgender"
"26",11,2025,"sex-rejecting",,"1819news.com","  ***","Jennifer Oliver O'Connell: Two fathers deal with gender transition in strikingly different ways","biological sex"
"27",11,2025,,"sex change","dailymail.co.uk",,"Trans lady of the manor drops legal case against NHS - Daily Mail","transgender"
"28",11,2025,,"sex change","msn.com",,"Why Alesha Dixon's still living with her ex - MSN","transgender"
"29",11,2025,,"sex change","msn.com",,"Bing Crosby's iconic Bay Area estate is on the market for $40 million - MSN","transgender"
"30",11,2025,,"sex change","facebook.com",,"Northwestern agreed to pay $75 million to the federal government in a deal reached on ... - Facebook","gender ideology"
"31",11,2025,,"sex change","christianpost.com",,"Catholic group demands USCCB stop funding LGBT groups pushing abortion, trans surgeries","transgenderism"
