"","month","year","mention","pullURL","keyword","EntryTitle","google_news_keyword"
"1",2,2026,"sex-rejecting","news.diocesetucson.org","  ***","2 major medical groups back limits on gender transition procedures for minors","biological sex"
"2",2,2026,"gender mutilation","crenshaw.house.gov"," ","Congressman Crenshaw Introduces the Stop Gender Trafficking of Minors Act","transgender"
"3",2,2026,"sex-rejecting","exposedbycmd.org","  ***","HHS Has Been Using Anti-Trans Language From a Christian Right Think Tank","biological sex"
"4",2,2026,"sex-rejecting","roughdraftatlanta.com","  ***","Expanded global gag rule to ban US foreign aid to groups that promote 'gender ideology'","transgenderism"
"5",1,2026,"sex-rejecting","wng.org","  ***","A victory for children - WORLD News Group","transgender"
"6",1,2026,"gender mutilation","americanthinker.com"," ","Doctor slandered for exposing transgender mutilation in Texas - American Thinker","transgenderism"
"7",1,2026,"sex rejecting","healthpolicy-watch.news"," ","Latest US Restrictions On Aid 'Bully' Recipients To Accept 'Extremist Ideology'","gender ideology"
"8",12,2025,"sex-rejecting","presidentialprayerteam.org","  ***","House Passes Two Bills to Halt Transgender Interventions for Minors","transgender"
"9",12,2025,"sex-rejecting","californiaglobe.com","  ***","HHS Acts to Bar Hospitals from Performing Sex-Rejecting Procedures on Children","biological sex"
"10",12,2025,"sex rejecting","marylandmatters.org"," ","States reject plan to block gender-affirming - what HHS calls 'sex rejecting' - care - Maryland Matters","transgender"
"11",12,2025,"sex-rejecting","midhudsonnews.com","  ***","Federal officials to bar hospitals from performing sex-rejecting procedures on children","gender identity"
"12",12,2025,"sex-rejecting","washingtonpost.com","  ***","Mehmet Oz: No more public funds for sex-rejecting treatment for kids - The Washington Post","biological sex"
"13",12,2025,"sex-rejecting","hhs.gov","  ***","HHS Acts to Bar Hospitals from Performing Sex-Rejecting Procedures on Children","biological sex"
"14",12,2025,"sex-rejecting","catholicnewsagency.com","  ***","HHS announces actions to restrict 'sex-rejecting procedures' on minors","biological sex"
"15",12,2025,"sex-rejecting","theguardian.com","  ***","The Trump administration is trying to legislate trans people out of existence - The Guardian","transgender"
"16",12,2025,"sex-rejecting","jdsupra.com","  ***","CMS Seeks to Ban Hospitals from Providing Gender-Affirming Care to Minors | JD Supra","gender ideology"
"17",12,2025,"sex-rejecting","catholicworldreport.com","  ***","HHS announces actions to restrict 'sex-rejecting procedures' on minors","gender ideology"
"18",12,2025,"sex-rejecting","pressreader.com","  ***","Protect America's children from sex-rejecting interventions - PressReader","gender confusion"
"19",12,2025,"sex-rejecting","alphanews.org","  ***","Malpractice': RFK announces 6 moves to crack down on 'sex-rejecting procedures'","gender ideology"
"20",12,2025,"sex-rejecting","dailyfly.com","  ***","HHS' action to bar taxpayer-funded sex-change procedures - Dailyfly News","gender ideology"
"21",12,2025,"sex-rejecting","jdsupra.com","  ***","CMS Attempts to Use Medicare and Medicaid Conditions of Participation to Ban Hospitals ...","gender ideology"
"22",11,2025,"sex-rejecting","hhs.gov","  ***","HHS Releases Peer-Reviewed Report Discrediting Pediatric Sex-Rejecting Procedures","biological sex"
"23",11,2025,"sex-rejecting","washingtonpost.com","  ***","Experts critical of youth gender care wrote HHS study blasting it - The Washington Post","transgender"
"24",11,2025,"sex-rejecting","1819news.com","  ***","Jennifer Oliver O'Connell: Two fathers deal with gender transition in strikingly different ways","biological sex"
"25",11,2025,"sex-rejecting","adfmedia.org","  ***","ADF supports HHS report discrediting 'sex-rejecting' procedures for children","gender ideology"
"26",9,2025,"gender mutilation","ifamnews.com"," ","EXCLUSIVE: Chloe Cole Act to ban gender mutilation of minors introduced - IFN","transgenderism"
"27",7,2025,"gender mutilation","dailycitizen.focusonthefamily.com"," ","The Fighting Christian is Not a Contradiction - Daily Citizen","gender ideology"
"28",6,2025,"trait modification","mychesco.com"," ","HHS Launches Investigation into Michigan Health System Over Conscience Rights Violations","biological sex"
"29",10,2024,"gender mutilation","tampafp.com"," ","CBS, Paramount Reject Ad Exposing Dangers Of Sex Change Surgeries For Minors","transgenderism"
"30",10,2024,"gender mutilation","patriotpost.us"," ","Emmy Griffin: Contra the Left, Child Mutilation Surgeries Are Happening | The Patriot Post","gender confusion"
