"the_day","month","year","keyword","EntryTitle","pullURL","subname","post_ID","EntryURL"
"2026-02-16",2,2026,"transgender","Trans Bathroom Ban Bills Now Expanding To Private Businesses - Erin In The Morning","erininthemorning.com","erininthemorning.com","trans bathroom ban bills now expanding","https://www.erininthemorning.com/p/trans-bathroom-ban-bills-now-expanding"
"2026-02-16",2,2026,"gender identity","Trans Bathroom Ban Bills Now Expanding To Private Businesses - Erin In The Morning","erininthemorning.com","erininthemorning.com","trans bathroom ban bills now expanding","https://www.erininthemorning.com/p/trans-bathroom-ban-bills-now-expanding"
"2026-02-09",2,2026,"gender identity","Trans Youth Suicides Skyrocketed In UK After Care Drawdown; Government Covers It Up","erininthemorning.com","erininthemorning.com","trans youth suicides skyrocketed","https://www.erininthemorning.com/p/trans-youth-suicides-skyrocketed"
"2026-02-09",2,2026,"transgender","Trans Youth Suicides Skyrocketed In UK After Care Drawdown; Government Covers It Up","erininthemorning.com","erininthemorning.com","trans youth suicides skyrocketed","https://www.erininthemorning.com/p/trans-youth-suicides-skyrocketed"
"2026-02-10",2,2026,"biological sex","Pembroke School Committee to Revisit Sports Policy Amid Public Pressure","southshore.news","southshore.news","pembroke school committee to revisit","https://www.southshore.news/p/pembroke-school-committee-to-revisit"
"2026-02-10",2,2026,"transgender","“(His) Fingers Are in My -----!” Transgender Wrestler Under Investigation for S.A. of Girl, 16 ...","thejournal425.com","thejournal425.com","his fingers are in my transgender","https://www.thejournal425.com/p/his-fingers-are-in-my-transgender"
"2026-02-10",2,2026,"biological sex","“(His) Fingers Are in My -----!” Transgender Wrestler Under Investigation for S.A. of Girl, 16 ...","thejournal425.com","thejournal425.com","his fingers are in my transgender","https://www.thejournal425.com/p/his-fingers-are-in-my-transgender"
"2026-02-13",2,2026,"transgender","European Parliament Votes Overwhelmingly For ""The Full Recognition Of Trans Women As Women""","erininthemorning.com","erininthemorning.com","european parliament votes overwhelmingly","https://www.erininthemorning.com/p/european-parliament-votes-overwhelmingly"
"2026-02-14",2,2026,"biological sex","J425: 13 Girls Filed Safety Complaints on Trans Teammate Accused of SA, They Were ...","thejournal425.com","thejournal425.com","j425 13 girls filed safety complaints","https://www.thejournal425.com/p/j425-13-girls-filed-safety-complaints"
"2026-02-15",2,2026,"transgender","They Questioned Trans Medicine for Kids. The World Is Just Catching Up. - The Free Press","thefp.com","thefp.com","they questioned trans medicine for","https://www.thefp.com/p/they-questioned-trans-medicine-for"
"2026-02-15",2,2026,"gender identity","History Is Repeating Itself In the Battle Over Conversion Therapy","benryan.substack.com","benryan","history is repeating itself in the","https://benryan.substack.com/p/history-is-repeating-itself-in-the"
"2026-02-16",2,2026,"gender identity","Trans Bathroom Ban Bills Now Expanding To Private Businesses - Erin In The Morning","erininthemorning.com","erininthemorning.com","trans bathroom ban bills now expanding","https://www.erininthemorning.com/p/trans-bathroom-ban-bills-now-expanding"
"2026-02-16",2,2026,"transgender","Trans Bathroom Ban Bills Now Expanding To Private Businesses - Erin In The Morning","erininthemorning.com","erininthemorning.com","trans bathroom ban bills now expanding","https://www.erininthemorning.com/p/trans-bathroom-ban-bills-now-expanding"
"2026-02-16",2,2026,"gender identity","Canadian school shooter: Online radicalization, nihilism, gun culture, and gender identity","riedmanreport.substack.com","riedmanreport","canadian school shooter online radicalization","https://riedmanreport.substack.com/p/canadian-school-shooter-online-radicalization"
"2026-02-05",2,2026,"biological sex","The Rise and Fall of Youth Gender Medicine - by Emily Yoffe - The Free Press","thefp.com","thefp.com","the rise and fall of youth gender","https://www.thefp.com/p/the-rise-and-fall-of-youth-gender"
"2026-02-06",2,2026,"transgender","The Cowardice Of American Medicine On Trans Youth Care - Erin In The Morning","erininthemorning.com","erininthemorning.com","the cowardice of american medicine","https://www.erininthemorning.com/p/the-cowardice-of-american-medicine"
"2026-02-06",2,2026,"transgender","The Rise and Fall of Youth Gender Medicine - by Emily Yoffe - The Free Press","thefp.com","thefp.com","the rise and fall of youth gender","https://www.thefp.com/p/the-rise-and-fall-of-youth-gender"
"2026-02-06",2,2026,"biological sex","Too Much TV: If You Haven't Seen It, It's New To You","toomuchtv.substack.com","toomuchtv","too much tv if you havent seen it","https://toomuchtv.substack.com/p/too-much-tv-if-you-havent-seen-it"
"2026-02-08",2,2026,"gender identity","Britain's Good Law Project Again Claims the NHS Caused a Surge of Trans-Youth Suicides ...","benryan.substack.com","benryan","britains good law project again claims","https://benryan.substack.com/p/britains-good-law-project-again-claims"
"2026-02-09",2,2026,"gender identity","Trans Youth Suicides Skyrocketed In UK After Care Drawdown; Government Covers It Up","erininthemorning.com","erininthemorning.com","trans youth suicides skyrocketed","https://www.erininthemorning.com/p/trans-youth-suicides-skyrocketed"
"2026-02-09",2,2026,"transgender","Trans Youth Suicides Skyrocketed In UK After Care Drawdown; Government Covers It Up","erininthemorning.com","erininthemorning.com","trans youth suicides skyrocketed","https://www.erininthemorning.com/p/trans-youth-suicides-skyrocketed"
"2026-02-10",2,2026,"biological sex","Pembroke School Committee to Revisit Sports Policy Amid Public Pressure","southshore.news","southshore.news","pembroke school committee to revisit","https://www.southshore.news/p/pembroke-school-committee-to-revisit"
"2026-02-10",2,2026,"gender identity","Pembroke School Committee to Revisit Sports Policy Amid Public Pressure","southshore.news","southshore.news","pembroke school committee to revisit","https://www.southshore.news/p/pembroke-school-committee-to-revisit"
"2026-02-10",2,2026,"transgender","“(His) Fingers Are in My -----!” Transgender Wrestler Under Investigation for S.A. of Girl, 16 ...","thejournal425.com","thejournal425.com","his fingers are in my transgender","https://www.thejournal425.com/p/his-fingers-are-in-my-transgender"
"2026-02-11",2,2026,"biological sex","“(HIS) FINGERS ARE IN MY (P——)!!” - J425 | The Journal 425","thejournal425.com","thejournal425.com","his fingers are in my transgender","https://www.thejournal425.com/p/his-fingers-are-in-my-transgender"
"2026-02-13",2,2026,"transgender","European Parliament Votes Overwhelmingly For ""The Full Recognition Of Trans Women As Women""","erininthemorning.com","erininthemorning.com","european parliament votes overwhelmingly","https://www.erininthemorning.com/p/european-parliament-votes-overwhelmingly"
"2026-02-14",2,2026,"biological sex","J425: 13 Girls Filed Safety Complaints on Trans Teammate Accused of SA, They Were ...","thejournal425.com","thejournal425.com","j425 13 girls filed safety complaints","https://www.thejournal425.com/p/j425-13-girls-filed-safety-complaints"
"2026-02-15",2,2026,"transgender","They Questioned Trans Medicine for Kids. The World Is Just Catching Up. - The Free Press","thefp.com","thefp.com","they questioned trans medicine for","https://www.thefp.com/p/they-questioned-trans-medicine-for"
"2026-02-15",2,2026,"gender identity","History Is Repeating Itself In the Battle Over Conversion Therapy","benryan.substack.com","benryan","history is repeating itself in the","https://benryan.substack.com/p/history-is-repeating-itself-in-the"
"2026-01-27",1,2026,"gender identity","I Was Fired by New York's Attorney General for Opposing 'Gender-Affirming Care'","thefp.com","thefp.com","i was fired by new yorks attorney gender affirming care","https://www.thefp.com/p/i-was-fired-by-new-yorks-attorney-gender-affirming-care"
"2026-01-28",1,2026,"transgender","Kansas Advancing Anti-Trans Bill Allowing Bounty Hunters To Patrol Private Business Bathrooms","erininthemorning.com","erininthemorning.com","kansas advancing anti trans bill","https://www.erininthemorning.com/p/kansas-advancing-anti-trans-bill"
"2026-01-29",1,2026,"biological sex","Seven Principles for a 21st Century Left - by Ruy Teixeira - The Liberal Patriot","liberalpatriot.com","liberalpatriot.com","seven principles for a 21st century","https://www.liberalpatriot.com/p/seven-principles-for-a-21st-century"
"2026-01-29",1,2026,"transgender","Kansas Advancing Anti-Trans Bill Allowing Bounty Hunters To Patrol Private Business Bathrooms","erininthemorning.com","erininthemorning.com","kansas advancing anti trans bill","https://www.erininthemorning.com/p/kansas-advancing-anti-trans-bill?utm_campaign=post&utm_medium=email&triedRedirect=true"
"2026-01-30",1,2026,"gender identity","A tumultuous time in the game industry is underscored by ICE at GDC fears","game.substack.com","game","a tumultuous time in the game industry","https://game.substack.com/p/a-tumultuous-time-in-the-game-industry"
"2026-01-30",1,2026,"transgender","Fox News Poll: Americans Prefer Democrats On Transgender Issues +22 Points","erininthemorning.com","erininthemorning.com","fox news poll americans prefer democrats","https://www.erininthemorning.com/p/fox-news-poll-americans-prefer-democrats"
"2026-02-01",2,2026,"transgender","The Lavender Ledger: Your Strategic LGBTQ+ Reader By Erin In The Morning","erininthemorning.com","erininthemorning.com","the lavender ledger your strategic 39d","https://www.erininthemorning.com/p/the-lavender-ledger-your-strategic-39d"
"2026-02-01",2,2026,"gender identity","Former State Senator Michael McCaffrey will become a District Court Judge, and you can't stop it","steveahlquist.substack.com","steveahlquist","former state senator michael mccaffrey","https://steveahlquist.substack.com/p/former-state-senator-michael-mccaffrey"
"2026-02-01",2,2026,"transgender","I Report for The Free Press: ""A Legal First That Could Change Gender Medicine""","benryan.substack.com","benryan","i report for the free press a legal","https://benryan.substack.com/p/i-report-for-the-free-press-a-legal?utm_source=substack&utm_medium=email&utm_content=share&action=share"
"2026-02-01",2,2026,"transgender","A Legal First That Could Change Gender Medicine - The Free Press","thefp.com","thefp.com","a legal first that could change gender","https://www.thefp.com/p/a-legal-first-that-could-change-gender"
"2026-02-02",2,2026,"transgender","Elon Musk Asked Jeffrey Epstein to Invite Him to the 'Wildest Party' on His Island - Zeteo","zeteo.com","zeteo.com","elon musk jeffrey epstein files island","https://zeteo.com/p/elon-musk-jeffrey-epstein-files-island"
"2026-02-02",2,2026,"transgender","I Report for The Free Press: ""A Legal First That Could Change Gender Medicine""","benryan.substack.com","benryan","i report for the free press a legal","https://benryan.substack.com/p/i-report-for-the-free-press-a-legal"
"2026-02-02",2,2026,"gender identity","I Report for The Free Press: ""A Legal First That Could Change Gender Medicine""","benryan.substack.com","benryan","i report for the free press a legal","https://benryan.substack.com/p/i-report-for-the-free-press-a-legal"
"2026-02-02",2,2026,"gender identity","Black Trans Trailblazers That You May Not Learn About in History Class","erininthemorning.com","erininthemorning.com","black trans trailblazers that you","https://www.erininthemorning.com/p/black-trans-trailblazers-that-you"
"2026-02-03",2,2026,"transgender","Black Trans Trailblazers That You May Not Learn About in History Class","erininthemorning.com","erininthemorning.com","black trans trailblazers that you","https://www.erininthemorning.com/p/black-trans-trailblazers-that-you"
"2026-02-05",2,2026,"biological sex","The Rise and Fall of Youth Gender Medicine - by Emily Yoffe - The Free Press","thefp.com","thefp.com","the rise and fall of youth gender","https://www.thefp.com/p/the-rise-and-fall-of-youth-gender"
"2026-02-05",2,2026,"transgender","Republican Senator Attacks Netflix Over “Trans Ideology” In Hearing - Erin In The Morning","erininthemorning.com","erininthemorning.com","republican senator attacks netflix","https://www.erininthemorning.com/p/republican-senator-attacks-netflix"
"2026-02-06",2,2026,"transgender","The Rise and Fall of Youth Gender Medicine - by Emily Yoffe - The Free Press","thefp.com","thefp.com","the rise and fall of youth gender","https://www.thefp.com/p/the-rise-and-fall-of-youth-gender"
"2026-02-06",2,2026,"biological sex","Too Much TV: If You Haven't Seen It, It's New To You","toomuchtv.substack.com","toomuchtv","too much tv if you havent seen it","https://toomuchtv.substack.com/p/too-much-tv-if-you-havent-seen-it"
"2026-02-08",2,2026,"gender identity","Britain's Good Law Project Again Claims the NHS Caused a Surge of Trans-Youth Suicides ...","benryan.substack.com","benryan","britains good law project again claims","https://benryan.substack.com/p/britains-good-law-project-again-claims"
"2026-01-19",1,2026,"gender identity","Judge Kacsmaryk Compares Drag To Blackface, Allows College Campus Drag Ban In Texas","erininthemorning.com","erininthemorning.com","judge kacsmaryk compares drag to","https://www.erininthemorning.com/p/judge-kacsmaryk-compares-drag-to"
"2026-01-19",1,2026,"transgender","Judicial Notice (01.19.26): Minnesota (Not So) Nice","davidlat.substack.com","davidlat","judicial notice 011926 minnesota","https://davidlat.substack.com/p/judicial-notice-011926-minnesota"
"2026-01-20",1,2026,"biological sex","Dept. of Education Attacks Middle School For Supposedly Letting Trans Student Onto Co-Ed ...","erininthemorning.com","erininthemorning.com","dept of education attacks middle","https://www.erininthemorning.com/p/dept-of-education-attacks-middle"
"2026-01-20",1,2026,"transgender","Democrats Successfully Strip All Anti-Trans Riders From Final Appropriations Bills","erininthemorning.com","erininthemorning.com","democrats successfully strip all","https://www.erininthemorning.com/p/democrats-successfully-strip-all"
"2026-01-21",1,2026,"biological sex","Strategic Plan to Shape Pembroke Schools Through 2031 - South Shore News","southshore.news","southshore.news","strategic plan to shape pembroke","https://www.southshore.news/p/strategic-plan-to-shape-pembroke"
"2026-01-21",1,2026,"biological sex","Is The Trump Administration Attempting A Backdoor Gun Ban For Trans Americans?","erininthemorning.com","erininthemorning.com","is the trump administration attempting","https://www.erininthemorning.com/p/is-the-trump-administration-attempting"
"2026-01-21",1,2026,"gender identity","Is The Trump Administration Attempting A Backdoor Gun Ban For Trans Americans?","erininthemorning.com","erininthemorning.com","is the trump administration attempting","https://www.erininthemorning.com/p/is-the-trump-administration-attempting"
"2026-01-21",1,2026,"gender identity","Non-Binary Marathon Divisions Are Pointless","persuasion.community","persuasion.community","non binary marathon divisions are","https://www.persuasion.community/p/non-binary-marathon-divisions-are"
"2026-01-21",1,2026,"gender identity","Non-Binary Marathon Divisions Are Pointless","persuasion.community","persuasion.community","non binary marathon divisions are","https://www.persuasion.community/p/non-binary-marathon-divisions-are?source=queue"
"2026-01-21",1,2026,"transgender","Is The Trump Administration Attempting A Backdoor Gun Ban For Trans Americans?","erininthemorning.com","erininthemorning.com","is the trump administration attempting","https://www.erininthemorning.com/p/is-the-trump-administration-attempting"
"2026-01-22",1,2026,"gender identity","Democrats and the Siren Call of Culture Denialism - The Liberal Patriot","liberalpatriot.com","liberalpatriot.com","democrats and the siren call of culture","https://www.liberalpatriot.com/p/democrats-and-the-siren-call-of-culture"
"2026-01-22",1,2026,"biological sex","Democrats and the Siren Call of Culture Denialism - The Liberal Patriot","liberalpatriot.com","liberalpatriot.com","democrats and the siren call of culture","https://www.liberalpatriot.com/p/democrats-and-the-siren-call-of-culture?utm_source=substack&utm_medium=email&utm_content=share&action=share"
"2026-01-22",1,2026,"transgender","Trans Girl Scouts On Cookie List Sell 71,000 Cookies And Growing - Erin In The Morning","erininthemorning.com","erininthemorning.com","trans girl scouts on cookie list","https://www.erininthemorning.com/p/trans-girl-scouts-on-cookie-list"
"2026-01-26",1,2026,"gender identity","The Limits of Resistance Liberalism - by Justin Vassallo","liberalpatriot.com","liberalpatriot.com","the limits of resistance liberalism","https://www.liberalpatriot.com/p/the-limits-of-resistance-liberalism?utm_source=substack&utm_medium=email&utm_content=share&action=share"
"2026-01-26",1,2026,"transgender","Trump Pressures International Orgs To Disavow Trans Care, Social Transition Globally ""At ...","erininthemorning.com","erininthemorning.com","trump pressures international orgs","https://www.erininthemorning.com/p/trump-pressures-international-orgs"
"2026-01-27",1,2026,"gender identity","I Was Fired by New York's Attorney General for Opposing 'Gender-Affirming Care'","thefp.com","thefp.com","i was fired by new yorks attorney gender affirming care","https://www.thefp.com/p/i-was-fired-by-new-yorks-attorney-gender-affirming-care"
"2026-01-28",1,2026,"transgender","Kansas Advancing Anti-Trans Bill Allowing Bounty Hunters To Patrol Private Business Bathrooms","erininthemorning.com","erininthemorning.com","kansas advancing anti trans bill","https://www.erininthemorning.com/p/kansas-advancing-anti-trans-bill"
"2026-01-29",1,2026,"biological sex","Seven Principles for a 21st Century Left - by Ruy Teixeira - The Liberal Patriot","liberalpatriot.com","liberalpatriot.com","seven principles for a 21st century","https://www.liberalpatriot.com/p/seven-principles-for-a-21st-century"
"2026-01-30",1,2026,"transgender","Fox News Poll: Americans Prefer Democrats On Transgender Issues +22 Points","erininthemorning.com","erininthemorning.com","fox news poll americans prefer democrats","https://www.erininthemorning.com/p/fox-news-poll-americans-prefer-democrats"
"2026-02-01",2,2026,"transgender","The Lavender Ledger: Your Strategic LGBTQ+ Reader By Erin In The Morning","erininthemorning.com","erininthemorning.com","the lavender ledger your strategic 39d","https://www.erininthemorning.com/p/the-lavender-ledger-your-strategic-39d"
"2026-02-01",2,2026,"gender identity","Former State Senator Michael McCaffrey will become a District Court Judge, and you can't stop it","steveahlquist.substack.com","steveahlquist","former state senator michael mccaffrey","https://steveahlquist.substack.com/p/former-state-senator-michael-mccaffrey"
"2026-02-01",2,2026,"gender identity","I Report for The Free Press: ""A Legal First That Could Change Gender Medicine""","benryan.substack.com","benryan","i report for the free press a legal","https://benryan.substack.com/p/i-report-for-the-free-press-a-legal?utm_source=substack&utm_medium=email&utm_content=share&action=share"
