"the_day","month","year","keyword","EntryTitle","pullURL","subname","post_ID","EntryURL"
2026-02-15,2,2026,"gender identity","History Is Repeating Itself In the Battle Over Conversion Therapy","benryan.substack.com","benryan","history is repeating itself in the","https://benryan.substack.com/p/history-is-repeating-itself-in-the"
2026-02-16,2,2026,"gender identity","Canadian school shooter: Online radicalization, nihilism, gun culture, and gender identity","riedmanreport.substack.com","riedmanreport","canadian school shooter online radicalization","https://riedmanreport.substack.com/p/canadian-school-shooter-online-radicalization"
2026-02-06,2,2026,"biological sex","Too Much TV: If You Haven't Seen It, It's New To You","toomuchtv.substack.com","toomuchtv","too much tv if you havent seen it","https://toomuchtv.substack.com/p/too-much-tv-if-you-havent-seen-it"
2026-02-08,2,2026,"gender identity","Britain's Good Law Project Again Claims the NHS Caused a Surge of Trans-Youth Suicides ...","benryan.substack.com","benryan","britains good law project again claims","https://benryan.substack.com/p/britains-good-law-project-again-claims"
2026-02-15,2,2026,"gender identity","History Is Repeating Itself In the Battle Over Conversion Therapy","benryan.substack.com","benryan","history is repeating itself in the","https://benryan.substack.com/p/history-is-repeating-itself-in-the"
2026-01-30,1,2026,"gender identity","A tumultuous time in the game industry is underscored by ICE at GDC fears","game.substack.com","game","a tumultuous time in the game industry","https://game.substack.com/p/a-tumultuous-time-in-the-game-industry"
2026-02-01,2,2026,"gender identity","Former State Senator Michael McCaffrey will become a District Court Judge, and you can't stop it","steveahlquist.substack.com","steveahlquist","former state senator michael mccaffrey","https://steveahlquist.substack.com/p/former-state-senator-michael-mccaffrey"
2026-02-01,2,2026,"transgender","I Report for The Free Press: ""A Legal First That Could Change Gender Medicine""","benryan.substack.com","benryan","i report for the free press a legal","https://benryan.substack.com/p/i-report-for-the-free-press-a-legal?utm_source=substack&utm_medium=email&utm_content=share&action=share"
2026-02-02,2,2026,"transgender","I Report for The Free Press: ""A Legal First That Could Change Gender Medicine""","benryan.substack.com","benryan","i report for the free press a legal","https://benryan.substack.com/p/i-report-for-the-free-press-a-legal"
2026-02-02,2,2026,"gender identity","I Report for The Free Press: ""A Legal First That Could Change Gender Medicine""","benryan.substack.com","benryan","i report for the free press a legal","https://benryan.substack.com/p/i-report-for-the-free-press-a-legal"
2026-02-06,2,2026,"biological sex","Too Much TV: If You Haven't Seen It, It's New To You","toomuchtv.substack.com","toomuchtv","too much tv if you havent seen it","https://toomuchtv.substack.com/p/too-much-tv-if-you-havent-seen-it"
2026-02-08,2,2026,"gender identity","Britain's Good Law Project Again Claims the NHS Caused a Surge of Trans-Youth Suicides ...","benryan.substack.com","benryan","britains good law project again claims","https://benryan.substack.com/p/britains-good-law-project-again-claims"
2026-01-19,1,2026,"transgender","Judicial Notice (01.19.26): Minnesota (Not So) Nice","davidlat.substack.com","davidlat","judicial notice 011926 minnesota","https://davidlat.substack.com/p/judicial-notice-011926-minnesota"
2026-02-01,2,2026,"gender identity","Former State Senator Michael McCaffrey will become a District Court Judge, and you can't stop it","steveahlquist.substack.com","steveahlquist","former state senator michael mccaffrey","https://steveahlquist.substack.com/p/former-state-senator-michael-mccaffrey"
2026-02-01,2,2026,"gender identity","I Report for The Free Press: ""A Legal First That Could Change Gender Medicine""","benryan.substack.com","benryan","i report for the free press a legal","https://benryan.substack.com/p/i-report-for-the-free-press-a-legal?utm_source=substack&utm_medium=email&utm_content=share&action=share"
2026-02-01,2,2026,"transgender","I Report for The Free Press: ""A Legal First That Could Change Gender Medicine""","benryan.substack.com","benryan","i report for the free press a legal","https://benryan.substack.com/p/i-report-for-the-free-press-a-legal?utm_source=substack&utm_medium=email&utm_content=share&action=share"
2026-01-17,1,2026,"gender identity","Messy Conversations: When Loved Ones Leave the Faith - Substack","substack.com","substack.com","184043212","https://substack.com/home/post/p-184043212?source=queue"
2026-01-17,1,2026,"gender identity","Follow the Money: Venezuelan Oil, Qatar, and Trump's Accountability Crisis","mitchthelawyer.substack.com","mitchthelawyer","follow the money venezuelan oil qatar","https://mitchthelawyer.substack.com/p/follow-the-money-venezuelan-oil-qatar"
2026-01-18,1,2026,"gender identity","On banning Plato - Ruby's Studio","substack.com","substack.com","184758658","https://substack.com/home/post/p-184758658?source=queue"
2026-01-19,1,2026,"transgender","Judicial Notice (01.19.26): Minnesota (Not So) Nice","davidlat.substack.com","davidlat","judicial notice 011926 minnesota","https://davidlat.substack.com/p/judicial-notice-011926-minnesota"
2026-01-19,1,2026,"biological sex","The Case That Forces a Definition of Sex - The Newsroom - Substack","substack.com","substack.com","185123627","https://substack.com/home/post/p-185123627?source=queue"
2026-01-22,1,2026,"transgender","For the Sake of The Nation and Humanity, His Supporters Must Be Shunned","johnpavlovitz.substack.com","johnpavlovitz","for the sake of the nation and humanity","https://johnpavlovitz.substack.com/p/for-the-sake-of-the-nation-and-humanity?utm_campaign=post&utm_medium=email&triedRedirect=true"
2025-02-01,2,2025,"biological sex","From Pray-the-Gay-Away to Pansexual Pragmatism - Substack","substack.com","substack.com","155863228","https://substack.com/home/post/p-155863228?utm_campaign=post&utm_medium=web"
2025-02-02,2,2025,"biological sex","Comments - The Week in Abortion - by Jessica Valenti","jessica.substack.com","jessica","the week in abortion 960","https://jessica.substack.com/p/the-week-in-abortion-960/comments"
2025-02-02,2,2025,"gender identity","Implementing the Executive Order on Sex and Gender - Substack","substack.com","substack.com","156301249","https://substack.com/home/post/p-156301249?utm_campaign=post&utm_medium=web"
2025-02-02,2,2025,"biological sex","Implementing the Executive Order on Sex and Gender - Substack","substack.com","substack.com","156301249","https://substack.com/home/post/p-156301249?utm_campaign=post&utm_medium=web"
2025-02-02,2,2025,"biological sex","Project 2025's presidential influence is already taking hold - Substack","substack.com","substack.com","156323757","https://substack.com/home/post/p-156323757?utm_campaign=post&utm_medium=web"
2025-02-03,2,2025,"biological sex","Biological Reality vs. Gender Ideology - Substack","substack.com","substack.com","153865842","https://substack.com/home/post/p-153865842?utm_campaign=post&utm_medium=web"
2025-02-04,2,2025,"biological sex","We Are All Human Together - by Bodhiterra - Visible Woman - Substack","substack.com","substack.com","156418316","https://substack.com/home/post/p-156418316?utm_campaign=post&utm_medium=web"
2025-02-04,2,2025,"biological sex","Talking to myself and feeling old - by Josh Slocum - Substack","substack.com","substack.com","156465885","https://substack.com/home/post/p-156465885?utm_campaign=post&utm_medium=web"
2025-02-08,2,2025,"gender identity","The Dark Side of Gender Affirmation: Tearing families apart - Substack","substack.com","substack.com","156678956","https://substack.com/home/post/p-156678956?utm_campaign=post&utm_medium=web"
2025-02-08,2,2025,"biological sex","Medieval gender studies is getting this wrong. - Substack","substack.com","substack.com","155684745","https://substack.com/home/post/p-155684745?utm_campaign=post&utm_medium=web"
2025-02-09,2,2025,"biological sex","The Androgyny Syndrome - by Graham Cunningham - Substack","substack.com","substack.com","156733930","https://substack.com/home/post/p-156733930?utm_campaign=post&utm_medium=web"
2025-02-15,2,2025,"biological sex","Understanding Biology ≠ Biological Essentialism - Substack","substack.com","substack.com","157195493","https://substack.com/home/post/p-157195493?utm_campaign=post&utm_medium=web"
2025-02-16,2,2025,"gender identity","Home | Substack","substack.com","substack.com","157215244","https://substack.com/home/post/p-157215244"
2025-02-16,2,2025,"gender identity","The Unraveling of the New York Times - by Kara Dansky - Substack","substack.com","substack.com","157256256","https://substack.com/home/post/p-157256256?utm_campaign=post&utm_medium=web"
2025-02-16,2,2025,"biological sex","The Unraveling of the New York Times - by Kara Dansky - Substack","substack.com","substack.com","157256256","https://substack.com/home/post/p-157256256?utm_campaign=post&utm_medium=web"
2025-02-16,2,2025,"biological sex","Man pretending to be a woman accused me of ""catfishing."" - Substack","substack.com","substack.com","157277411","https://substack.com/home/post/p-157277411?utm_campaign=post&utm_medium=web"
2025-02-17,2,2025,"biological sex","How Psychology's Ideological Shift Harms Gender-Confused Children - Substack","substack.com","substack.com","156129016","https://substack.com/home/post/p-156129016?utm_campaign=post&utm_medium=web"
2025-02-17,2,2025,"gender identity","Trans Identity - by Ozy Brennan - Thing of Things - Substack","substack.com","substack.com","157029292","https://substack.com/home/post/p-157029292?utm_campaign=post&utm_medium=web"
2025-02-18,2,2025,"biological sex","You Created a New Pandora's Box. - Substack","substack.com","substack.com","157404392","https://substack.com/home/post/p-157404392?utm_campaign=post&utm_medium=web"
2025-02-19,2,2025,"biological sex","Dawkins on the Male Female divide - The reviewer's Substack","substack.com","substack.com","157417775","https://substack.com/home/post/p-157417775?utm_campaign=post&utm_medium=web"
2025-02-22,2,2025,"gender identity","Opinion: Mom and pop psychology - Fredericton Independent - Substack","substack.com","substack.com","134219742","https://substack.com/home/post/p-134219742?utm_campaign=post&utm_medium=web"
2025-02-26,2,2025,"biological sex","NH School Scoop - February 25, 2025 - by Bill Carozza - Substack","substack.com","substack.com","157910798","https://substack.com/home/post/p-157910798?utm_campaign=post&utm_medium=web"
2025-02-26,2,2025,"biological sex","Why I Use Trans People's Preferred Pronouns - Substack","substack.com","substack.com","157937616","https://substack.com/home/post/p-157937616?utm_campaign=post&utm_medium=web"
2025-02-26,2,2025,"biological sex","An Open Letter to Administrators of Institutionalized Dysphoria - Substack","substack.com","substack.com","157977500","https://substack.com/home/post/p-157977500?utm_campaign=post&utm_medium=web"
2025-02-27,2,2025,"gender identity","How MAGA-Bros Reject Their Own Ancestral Myths in Their War on ""Wokeness"" - Substack","substack.com","substack.com","157685680","https://substack.com/home/post/p-157685680?utm_campaign=post&utm_medium=web"
2025-02-28,2,2025,"biological sex","Sex, gender, and ""truth"" - by Allison Daminger - Substack","substack.com","substack.com","158042630","https://substack.com/home/post/p-158042630?utm_campaign=post&utm_medium=web"
2025-03-02,3,2025,"biological sex","Are Gender Roles Inherently Incompatible with Modern Communism? - Substack","substack.com","substack.com","158176759","https://substack.com/home/post/p-158176759?utm_campaign=post&utm_medium=web"
2025-03-02,3,2025,"biological sex","Weekly Roundup - by James L. Nuzzo - The Nuzzo Letter - Substack","substack.com","substack.com","158149057","https://substack.com/home/post/p-158149057?utm_campaign=post&utm_medium=web"
2025-03-02,3,2025,"gender identity","They - by Ward Stern - Honest Teaching - Substack","substack.com","substack.com","157525367","https://substack.com/home/post/p-157525367?utm_campaign=post&utm_medium=web"
2025-03-02,3,2025,"biological sex","“Dangerous” Trans-Identified Male Pedophile Under Investigation For Sexually Assaulting ...","substack.com","substack.com","158229997","https://substack.com/home/post/p-158229997?utm_campaign=post&utm_medium=web"
2025-03-02,3,2025,"gender identity","DOGE Cuts $10.9M in NIH Grants—Here's What Was Defunded - Substack","substack.com","substack.com","158212430","https://substack.com/home/post/p-158212430?utm_campaign=post&utm_medium=web"
2025-03-02,3,2025,"biological sex","Sylvia Rivera Warned Us: Gay Men Would Abandon Trans People—And She Was Right","substack.com","substack.com","158247094","https://substack.com/home/post/p-158247094?source=queue"
2025-03-02,3,2025,"biological sex","The Week Ahead - Civil Discourse with Joyce Vance - Substack","joycevance.substack.com","joycevance","the week ahead cff","https://joycevance.substack.com/p/the-week-ahead-cff"
