"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","moderationStatus","parentId"
"1","@michelles2299","https://yt3.ggpht.com/ytc/AIdro_kaPHX7hLa7icfgJ0MoU1DsOMVwXR-b9uFqx7LijFqmBX0=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@michelles2299","UC0W8mci713jLoXH0TZXXyoQ","EQNIVVPMsT4","Toddlers? Unbelievable","Toddlers? Unbelievable",TRUE,"none",0,"2025-06-08T12:29:01Z","2025-06-08T12:29:01Z","UgyX3vRmPTXErduCJqJ4AaABAg",NA,NA
"2","@carolhaizelden9604","https://yt3.ggpht.com/ytc/AIdro_kma79yy7cRqlui50T7eUw4GJ-hvyfWbVY2xWvZA7Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@carolhaizelden9604","UC4dkekC0C_LLPWa1kmnRhxg","EQNIVVPMsT4","Remember the many funded quangos and charities!","Remember the many funded quangos and charities!",TRUE,"none",0,"2025-06-01T13:27:34Z","2025-06-01T13:27:34Z","Ugz0D0mSDAce2dqZ3VZ4AaABAg",NA,NA
"3","@carolhaizelden9604","https://yt3.ggpht.com/ytc/AIdro_kma79yy7cRqlui50T7eUw4GJ-hvyfWbVY2xWvZA7Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@carolhaizelden9604","UC4dkekC0C_LLPWa1kmnRhxg","EQNIVVPMsT4","The pressure from social media is huge...and often wrong. <br>Initially is a mental health problem ...for the insecurity  of the parent😢","The pressure from social media is huge...and often wrong. 
Initially is a mental health problem ...for the insecurity  of the parent😢",TRUE,"none",0,"2025-06-01T13:26:28Z","2025-06-01T13:26:28Z","UgxvGwZGePp2UwtXsrJ4AaABAg",NA,NA
"4","@RoniLXmusic","https://yt3.ggpht.com/0vgeeytsLlQEFoa7hYWFtapqk3l2p96Q-9DrQVgUsEs4yNRbDhmR4gbBSiJd8dD-CrSZFOhd8Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@RoniLXmusic","UCy5lTL72AFZz6OgHxdgPsOg","EQNIVVPMsT4","What the actual fu","What the actual fu",TRUE,"none",1,"2025-05-23T11:22:26Z","2025-05-23T11:22:26Z","Ugy-gLIO6_siPrxgAyx4AaABAg",NA,NA
"5","@JohnSmith-ux3tt","https://yt3.ggpht.com/ytc/AIdro_ma6BVCY5javQRAl3nn3H1DnyFPfDcRwD1kMMHK7Dk=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@JohnSmith-ux3tt","UCjiRzzOILnc8F-xB8GgehdQ","EQNIVVPMsT4","The Left are evil.","The Left are evil.",TRUE,"none",0,"2025-05-22T04:08:37Z","2025-05-22T04:08:37Z","Ugyn0L-NcIaicueBXE54AaABAg",NA,NA
"6","@SISSYGIRLSTARMER","https://yt3.ggpht.com/MhIneyPczZV1HBjLUveJu7MEJchwvDBcIlyM4QrhunahwdhIPOHOtFEsE4qGt8FLGnoO8KKfMVg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@SISSYGIRLSTARMER","UCbJtmRuG2Vj7idN-i4d93qw","EQNIVVPMsT4","I thought they banned puberty Blockers?","I thought they banned puberty Blockers?",TRUE,"none",0,"2025-05-20T06:29:13Z","2025-05-20T06:29:13Z","UgyjNhfMvpPhSx8rLVp4AaABAg",NA,NA
"7","@sarahainscough6264","https://yt3.ggpht.com/FdWf0wMFIM2IAV9-A5pW7Rx3OxrJOYTFXkfy9pJ7GAXTzmiVtekIheoT92UlIwaeQZwIgslj=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@sarahainscough6264","UC_czy9CCA0wFjXGrNeO2DUQ","EQNIVVPMsT4","Oh hell no!!😢😢😢 <br><br>Male/female as born ffs!🤯 people are brainwashed no doubt 100% 😢<br><br>HUMANS CANNOT CHANGE SEX🤯<br><br>Please humans have become too much with this agenda. People must be helped the right way not encouragement of body mutilation on the guise of &quot;affirmation&quot; &quot;care&quot; it&#39;s not care! It&#39;s brutal !!!!!!!🤡🤡🤡🤡 heal the mind correctly","Oh hell no!!😢😢😢 

Male/female as born ffs!🤯 people are brainwashed no doubt 100% 😢

HUMANS CANNOT CHANGE SEX🤯

Please humans have become too much with this agenda. People must be helped the right way not encouragement of body mutilation on the guise of ""affirmation"" ""care"" it's not care! It's brutal !!!!!!!🤡🤡🤡🤡 heal the mind correctly",TRUE,"none",0,"2025-05-19T02:54:13Z","2025-05-19T03:01:47Z","UgxY_pFj5nblR1Ku1vB4AaABAg",NA,NA
"8","@ZoeySmith-f4n","https://yt3.ggpht.com/xlsocYFce9utnurVGiek6aQbOUhIo1We9N1PMLIKITbboLfXrFCYgU23NYXzvq5vJ268zCdZ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@ZoeySmith-f4n","UCFKTKRo9EfZ7CLvlPK0quZA","EQNIVVPMsT4","😡😡😡😡😡😡","😡😡😡😡😡😡",TRUE,"none",0,"2025-05-18T18:30:52Z","2025-05-18T18:30:52Z","Ugw2dhdna-VXvdpRi514AaABAg",NA,NA
"9","@CarmenBarracks-y1c","https://yt3.ggpht.com/ytc/AIdro_kr4bNGofmTMPp5MZXDPMJK5LVxode4q5XfL_KkDT6k-92DsDa2ZJkQL47K5Z7lphmMUw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@CarmenBarracks-y1c","UCwtZpoFPSYBXSU7QTO4q2rw","EQNIVVPMsT4","When these kids turned into adults,  I  will be sorry for the parents","When these kids turned into adults,  I  will be sorry for the parents",TRUE,"none",0,"2025-05-17T20:27:36Z","2025-05-17T20:27:36Z","Ugw0MQmQBDisNMdVlRN4AaABAg",NA,NA
"10","@black5f","https://yt3.ggpht.com/ytc/AIdro_lsfpSOkyUFBzSCOxhE5mj8nQ0NG1cAApPnD38i3EotwQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@black5f","UCnVdKw-borSFpFtcNcRe97w","EQNIVVPMsT4","Some hospital treatment recently ... a form to fill in. May I have a version of the form just in English please? Preferred pronouns, well you can just call me Tom, or Mr ..XXX, or you can address me as Sir if you want? I am also a Scottish Lord so you can call me Lord XXX if you like? Or just Tom. So next of kin .. that would be the lady I have been married to for 40 years, yes fathered 3 sons now all over 30 years old, tick. Age, 63. And now the crux question, are you capable of child birth? NO .... I AM HERE TO SEE A CONSULTANT ABOUT MY PROSTRATE! Have you had any medical training at all? Did you not listen at school? Which, by the look of you, was only 12 months ago?","Some hospital treatment recently ... a form to fill in. May I have a version of the form just in English please? Preferred pronouns, well you can just call me Tom, or Mr ..XXX, or you can address me as Sir if you want? I am also a Scottish Lord so you can call me Lord XXX if you like? Or just Tom. So next of kin .. that would be the lady I have been married to for 40 years, yes fathered 3 sons now all over 30 years old, tick. Age, 63. And now the crux question, are you capable of child birth? NO .... I AM HERE TO SEE A CONSULTANT ABOUT MY PROSTRATE! Have you had any medical training at all? Did you not listen at school? Which, by the look of you, was only 12 months ago?",TRUE,"none",0,"2025-05-17T19:33:00Z","2025-05-17T19:33:00Z","Ugz8sk5izGpDL4Iwat14AaABAg",NA,NA
