"","EntryPublished","the_day","posted_on_YT","keyword","video_ID","yt_long_ID","channel name","EntryURL","region","RSS"
"1","February 13, 2024 at 08:44AM","2024-02-13","2024-02-13T13:26:34Z","gender ideology","___QzZLsHw0","UC7fWeaHhqgM4Ry-RMpM2YYw","TRT World","https://www.youtube.com/watch?v=___QzZLsHw0",NA,8717893479030415360
"2","May 22, 2024 at 07:08PM","2024-05-22","__89vIB7f00","biological sex","__89vIB7f00","__89vIB7f00","__89vIB7f00","https://www.youtube.com/watch?v=__89vIB7f00","USA",16843718063138846720
"3","August 29, 2024 at 10:59PM","2024-08-29","2024-08-29T20:42:02Z","gender identity","__Kw17-zHts","UC1cOUqtl41SxOUGyGI2ip-Q","National League of Cities","https://www.youtube.com/watch?v=__Kw17-zHts","USA",4028362110021709824
"4","September 30, 2024 at 11:18PM","2024-09-30","2024-10-01T02:58:18Z","transgender","_5SITqBxEVY","UCwuZjWoiT30kDTz0G41Y8gQ","WMUR-TV","https://www.youtube.com/watch?v=_5SITqBxEVY","all regions",1916116072231156224
"5","July 26, 2024 at 02:43PM","2024-07-26","2024-07-26T18:27:34Z","gender identity","_62iiIh2dEI","UCjDsbbzHgTrGc4Ff26TJtsA","E! News","https://www.youtube.com/watch?v=_62iiIh2dEI","all regions",14792114867614312448
"6","February 01, 2024 at 10:19PM","2024-02-01","2024-02-02T03:00:20Z","transgender","_7n5U1O_UBs","UChLtXXpo4Ge1ReTEboVvTDg","Global News","https://www.youtube.com/watch?v=_7n5U1O_UBs","USA",11193014132467406848
"7","February 01, 2024 at 10:19PM","2024-02-01","2024-02-02T03:00:20Z","gender identity","_7n5U1O_UBs","UChLtXXpo4Ge1ReTEboVvTDg","Global News","https://www.youtube.com/watch?v=_7n5U1O_UBs","USA",4028362110021709824
"8","February 02, 2024 at 01:28AM","2024-02-02","2024-02-02T03:00:20Z","transgender","_7n5U1O_UBs","UChLtXXpo4Ge1ReTEboVvTDg","Global News","https://www.youtube.com/watch?v=_7n5U1O_UBs","all regions",1916116072231156224
"9","February 02, 2024 at 03:45AM","2024-02-02","2024-02-02T03:00:20Z","gender identity","_7n5U1O_UBs","UChLtXXpo4Ge1ReTEboVvTDg","Global News","https://www.youtube.com/watch?v=_7n5U1O_UBs","all regions",14792114867614312448
"10","March 20, 2024 at 12:47AM","2024-03-20","2024-03-20T04:43:22Z","transgender","_a1acidb9Q0","UC4OqEJz6oABzz_7nu29zF3A","FOX 26 Houston","https://www.youtube.com/watch?v=_a1acidb9Q0","all regions",1916116072231156224
