"","EntryPublished","the_day","year","month","video_ID","posted_on_YT","channel name","yt_long_ID","EntryTitle","EntryURL","keyword","region","RSS"
"1","April 25, 2023 at 03:37AM","2023-04-25",2023,4,"_-ukPxxS-tI","2023-04-25T02:13:37Z","Christians Engaged","UCE7Rj01vSAA1b1jncnbQuVg","Dr. Conrad Vine on Combatting Transgender Ideology - Part III: Critical Theory - YouTube","https://www.youtube.com/watch?v=_-ukPxxS-tI","transgenderism","all regions",15658552694435684352
"2","August 29, 2023 at 02:37PM","2023-08-29",2023,8,"_0GQV_e63Io","2023-08-29T03:44:34Z","KCRA 3","UC-BSVXejMFhhml4V_VyoGxg","CADOJ sues school district over transgender student notification policy - YouTube","https://www.youtube.com/watch?v=_0GQV_e63Io","transgender","all regions",1916116072231156224
"3","October 26, 2023 at 12:04PM","2023-10-26",2023,10,"_4DTc8qz8wM","2023-10-26T02:32:00Z","WFMJ","UC-MFWZ6WppyTGSixw-HHqSg","Welcome Baby USA supporting low-income moms - YouTube","https://www.youtube.com/watch?v=_4DTc8qz8wM","gender confusion","all regions",15648170854463737856
"4","July 14, 2023 at 05:24AM","2023-07-14",2023,7,"_5JkG3aBTc4","2023-07-14T02:17:50Z","KOIN 6","UCXN7rPhZK6Rp8lMhvpSri_Q","Kids Speak Out, Episode 6, Part 2 - YouTube","https://www.youtube.com/watch?v=_5JkG3aBTc4","gender identity","USA",4028362110021709824
"5","October 03, 2023 at 05:40PM","2023-10-03",2023,10,"_86nbJdg9BY","2023-10-03T20:54:45Z","WNEM TV5","UCmi4tHXXktvPxxcvfi2vpLQ","Saginaw native releases a Civil War book - YouTube","https://www.youtube.com/watch?v=_86nbJdg9BY","gender confusion","all regions",15648170854463737856
"6","September 09, 2023 at 04:48PM","2023-09-09",2023,9,"_9y8i7hks80","2023-09-09T04:41:07Z","FOX40 News","UC64F2oovpjsxy06vTdrJG-g","Constitutional law expert Jessica Levinson on transgender notification policy lawsuit","https://www.youtube.com/watch?v=_9y8i7hks80","transgender","USA",11193014132467406848
"7","September 09, 2023 at 07:44AM","2023-09-09",2023,9,"_9y8i7hks80","2023-09-09T04:41:07Z","FOX40 News","UC64F2oovpjsxy06vTdrJG-g","Constitutional law expert Jessica Levinson on transgender notification policy lawsuit","https://www.youtube.com/watch?v=_9y8i7hks80","transgender","all regions",1916116072231156224
"8","August 12, 2023 at 06:51AM","2023-08-12",2023,8,"_DSsx9ULt2U","2023-08-11T18:46:15Z","FOX 11 Los Angeles","UCHfF8wFnipMeDpJf8OmMxDg","Murrieta Valley School Board approved transgender policy - YouTube","https://www.youtube.com/watch?v=_DSsx9ULt2U","transgender","all regions",1916116072231156224
"9","August 11, 2023 at 06:21PM","2023-08-11",2023,8,"_DSsx9ULt2U","2023-08-11T18:46:15Z","FOX 11 Los Angeles","UCHfF8wFnipMeDpJf8OmMxDg","Murrieta Valley School Board approved transgender policy - YouTube","https://www.youtube.com/watch?v=_DSsx9ULt2U","transgender","USA",11193014132467406848
"10","October 05, 2023 at 12:30PM","2023-10-05",2023,10,"_egddq-JcDo","2023-10-05T16:28:01Z","Reuters","UChqUTb7kYRX8-EiaN3XFrSQ","Nobel laureate Jon Fosse 'gives voice to unsayable' - YouTube","https://www.youtube.com/watch?v=_egddq-JcDo","gender confusion","all regions",15648170854463737856
"11","July 20, 2023 at 11:09AM","2023-07-20",2023,7,"_j0x6OQpFpQ","2023-07-20T14:21:22Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA","Beyond Law Project Spokesperson SLAMS Gender Ideology In Schools - YouTube","https://www.youtube.com/watch?v=_j0x6OQpFpQ","gender ideology","all regions",8717893479030415360
"12","July 31, 2023 at 05:10PM","2023-07-31",2023,7,"_jtY5SfyHTg","2023-07-31T20:22:04Z","KING 5 Seattle","UCp1KrVaZDZ7BOI_QBuTWWmg","How schools can better support transgender children - New Day NW - YouTube","https://www.youtube.com/watch?v=_jtY5SfyHTg","transgender","all regions",1916116072231156224
"13","July 31, 2023 at 07:40PM","2023-07-31",2023,7,"_jtY5SfyHTg","2023-07-31T20:22:04Z","KING 5 Seattle","UCp1KrVaZDZ7BOI_QBuTWWmg","How schools can better support transgender children - New Day NW - YouTube","https://www.youtube.com/watch?v=_jtY5SfyHTg","transgender","USA",11193014132467406848
"14","October 05, 2023 at 01:38PM","2023-10-05",2023,10,"_jzsagSc6m4","2023-10-05T13:47:23Z","Voice of America","UCVSNOxehfALut52NbkfRBaA","ChatGPT Enters Education Sphere — Can It Help Students? | VOANews - YouTube","https://www.youtube.com/watch?v=_jzsagSc6m4","gender confusion","all regions",15648170854463737856
